Item	Outline	Page_Lines	Text	Tokens	Keywords	Tag	Number_of_Keywords
651	3.	40.3 - 40.8	Proposals should clearly articulate: the programs to be supported; the number of workers impacted; overall expected funding level; a plan to engage the people most affected by the transition, including workers and community members; a plan for any necessary site remediation and economic development; and a plan to ensure that funding is time limited to no more than ten years of direct support from the fund. 	proposals, should, clearly, articulate, the, programs, to, be, supported, the, number, of, workers, impacted, overall, expected, funding, level, a, plan, to, engage, the, people, most, affected, by, the, transition, including, workers, and, community, members, a, plan, for, any, necessary, site, remediation, and, economic, development, and, a, plan, to, ensure, that, funding, is, time, limited, to, no, more, than, ten, years, of, direct, support, from, the, fund	proposals, clearly, articulate, programs, supported, number, workers, impacted, overall, expected, funding, level, plan, engage, affected, transition, community, members, necessary, remediation, economic, development, ensure, limited, years, direct, support, fund	(§7.) SUBTITLE IV § 1939.3.	28
652	4.	40.9 - 40.9	The authority shall give priority to proposals from or related to: 	the, authority, shall, give, priority, to, proposals, from, or, related, to	authority, priority, proposals, related	(§7.) SUBTITLE IV § 1939.4.	4
653	(a)	40.10 - 40.10	disadvantaged workers or disadvantaged communities; 	disadvantaged, workers, or, disadvantaged, communities	disadvantaged, workers, communities	(§7.) SUBTITLE IV § 1939.4.(a)	3
654	(b)	40.11 - 40.11	adversely affected workers; 	adversely, affected, workers	adversely, affected, workers	(§7.) SUBTITLE IV § 1939.4.(b)	3
655	(c)	40.12 - 40.12	eligible applicants that relate to adversely affected employment; 	eligible, applicants, that, relate, to, adversely, affected, employment	eligible, applicants, relate, adversely, affected, employment	(§7.) SUBTITLE IV § 1939.4.(c)	6
656	(d)	40.13 - 40.14	projects that have significant employment and tax base impacts when experiencing a permanent closure. 	projects, that, have, significant, employment, and, tax, base, impacts, when, experiencing, a, permanent, closure	projects, significant, employment, tax, base, impacts, experiencing, permanent, closure	(§7.) SUBTITLE IV § 1939.4.(d)	9
657	5.	40.15 - 40.18	Where a proposal is received and one or more labor organization represent impacted workers, they shall be notified, and given a reasonable opportunity to submit a proposal either on their own or in partnership with other eligible applicants. 	where, a, proposal, is, received, and, one, or, more, labor, organization, represent, impacted, workers, they, shall, be, notified, and, given, a, reasonable, opportunity, to, submit, a, proposal, either, on, their, own, or, in, partnership, with, other, eligible, applicants	proposal, labor, organization, represent, impacted, workers, notified, reasonable, opportunity, submit, partnership, eligible, applicants	(§7.) SUBTITLE IV § 1939.5.	13
658	6.	40.19 - 40.27	In developing the criteria, the authority and the board shall attempt to maximize: the number of people from affected communities that will benefit from any implemented project and from the suite of projects across the program; the degree of direct benefits delivered to affected communities; greenhouse gas and emissions reductions for regulated air contaminants; and, to the extent possible, the leveraging of private capital. The criteria and program shall be reevaluated and amended based on the social dialogue convened by the task force and regional working groups. 	in, developing, the, criteria, the, authority, and, the, board, shall, attempt, to, maximize, the, number, of, people, from, affected, communities, that, will, benefit, from, any, implemented, project, and, from, the, suite, of, projects, across, the, program, the, degree, of, direct, benefits, delivered, to, affected, communities, greenhouse, gas, and, emissions, reductions, for, regulated, air, contaminants, and, to, the, extent, possible, the, leveraging, of, private, capital, the, criteria, and, program, shall, be, reevaluated, and, amended, based, on, the, social, dialogue, convened, by, the, task, force, and, regional, working, groups	developing, criteria, authority, board, attempt, maximize, number, affected, communities, benefit, implemented, project, suite, projects, across, program, degree, direct, benefits, delivered, greenhouse, gas, emissions, reductions, regulated, air, contaminants, extent, possible, leveraging, private, capital, reevaluated, amended, social, dialogue, convened, task, force, regional, working	(§7.) SUBTITLE IV § 1939.6.	41
659	7.	40.28 - 40.32	The authority shall encourage lead eligible applicants to propose projects in partnership with other eligible lead applicants, and in partnership with eligible sub-applicants, and will notify all those parties involved if multiple proposals are received regarding the same site, workers, or community. 	the, authority, shall, encourage, lead, eligible, applicants, to, propose, projects, in, partnership, with, other, eligible, lead, applicants, and, in, partnership, with, eligible, sub, applicants, and, will, notify, all, those, parties, involved, if, multiple, proposals, are, received, regarding, the, same, site, workers, or, community	authority, encourage, lead, eligible, applicants, propose, projects, partnership, sub, notify, parties, involved, multiple, proposals, regarding, workers, community	(§7.) SUBTITLE IV § 1939.7.	17
660	8.	40.33 - 40.34	Where possible, the authority shall aim to distribute funds in an equitable manner by region of the state. 	where, possible, the, authority, shall, aim, to, distribute, funds, in, an, equitable, manner, by, region, of, the, state	possible, authority, aim, distribute, funds, equitable, manner, region, state	(§7.) SUBTITLE IV § 1939.8.	9
661	9.	40.35 - 40.38	If adequate funding is available, the authority may consider proposals related to other impacts associated with climate change that have the effect of causing job losses, including climate-related natural disasters. 	if, adequate, funding, is, available, the, authority, may, consider, proposals, related, to, other, impacts, associated, with, climate, change, that, have, the, effect, of, causing, job, losses, including, climate, related, natural, disasters	adequate, funding, available, authority, may, consider, proposals, related, impacts, associated, climate, effect, causing, job, losses, natural, disasters	(§7.) SUBTITLE IV § 1939.9.	17
662	10.	40.39 - 40.41	The authority shall allocate funding annually, or as determined appropriate by the authority for ensuring continuous funding for the needs of the chosen programs and projects. 	the, authority, shall, allocate, funding, annually, or, as, determined, appropriate, by, the, authority, for, ensuring, continuous, funding, for, the, needs, of, the, chosen, programs, and, projects	authority, allocate, funding, annually, determined, appropriate, ensuring, continuous, needs, chosen, programs, projects	(§7.) SUBTITLE IV § 1939.10.	12
663	1.	40.42 - 40.50	Designation of significant impact. 1. The authority, in cooperation with the board and working group, shall establish criteria to determine when an industry has become significantly impacted as a direct result of policies to reduce greenhouse gas emissions in New York state. The authority shall identify an initial set of industries that are significantly impacted as a direct result of emissions reduction policies for the purposes of implementing this section. After those initial set of industries, further industries can be added by the task force. 	designation, of, significant, impact, 1, the, authority, in, cooperation, with, the, board, and, working, group, shall, establish, criteria, to, determine, when, an, industry, has, become, significantly, impacted, as, a, direct, result, of, policies, to, reduce, greenhouse, gas, emissions, in, new, york, state, the, authority, shall, identify, an, initial, set, of, industries, that, are, significantly, impacted, as, a, direct, result, of, emissions, reduction, policies, for, the, purposes, of, implementing, this, section, after, those, initial, set, of, industries, further, industries, can, be, added, by, the, task, force	designation, significant, impact, authority, cooperation, board, working, group, establish, criteria, determine, industry, significantly, impacted, direct, policies, reduce, greenhouse, gas, emissions, new, york, state, identify, initial, industries, reduction, purposes, implementing, task, force	(§7.) SUBTITLE IV § 1939-a.1.	31
